id,title,description,skill,role,difficulty,type,duration,provider,url,career_goal,content,verified
24,Java Programming: Solving Problems with Software,Learn Java syntax object-oriented programming algorithms and debugging through interactive problem-solving.,Java,Software Developer,Beginner,Course,25 hours,Duke University (Coursera),https://www.coursera.org/learn/java-programming,Placement,Core Java programming classes objects methods conditional logic loops string manipulation algorithms.,true
25,Java Tutorial for Beginners,Complete video guide covering Java installation basic syntax control flow methods classes and memory management.,Java,Software Developer,Beginner,Video,2.5 hours,freeCodeCamp,https://www.youtube.com/watch?v=eIrMbAQSU34,Internship,Java development setup primitive types control flow arrays methods object-oriented fundamentals.,true
26,University of Helsinki MOOC Java Programming I and II,Gold-standard university computer science course covering Java OOP data structures and software engineering practices.,Java,Software Developer,Intermediate,Course,80 hours,University of Helsinki,https://java-programming.mooc.fi/,Job,Object-oriented programming algorithms unit testing recursion collections exception handling in Java.,true
27,C++ Tutorial for Beginners - Full Course,Comprehensive video guide covering C++ pointers functions classes inheritance and memory management.,C++,Software Developer,Beginner,Video,4 hours,freeCodeCamp,https://www.youtube.com/watch?v=vLnPwxZdW4Y,Placement,Introduction to C++ syntax variables control structures pointers references arrays classes OOP principles.,true
28,Learn C++ - Modern C++ Tutorials,In-depth modular written tutorial covering all aspects of modern C++ C++11 to C++20 standard library and best practices.,C++,Software Developer,Beginner,Tutorial,50 hours,LearnCpp.com,https://www.learncpp.com/,Job,Detailed C++ concepts from basic syntax to pointers object-oriented design move semantics standard library templates.,true
29,React Official Documentation and Tutorial,Official interactive tutorial to learn modern React components props state effects and custom hooks.,React,Software Developer,Beginner,Tutorial,15 hours,React.dev,https://react.dev/learn,Job,Component-driven architecture JSX state management useEffect hooks lifting state up virtual DOM.,true
30,Full Modern React Tutorial,Practical video playlist building dynamic single-page applications with React hooks router and component state.,React,Software Developer,Beginner,Video,6 hours,The Net Ninja,https://www.youtube.com/playlist?list=PL4cUxeGkcC9gZD-Tvwfod2gaISzfRiP9d,Internship,Building React apps with Vite component hierarchy useState useEffect React Router fetch requests.,true
31,Version Control with Git,Learn Git branching merging pull requests and repository collaboration workflows used across the software industry.,Git/GitHub,Software Developer,Beginner,Course,12 hours,Atlassian (Coursera),https://www.coursera.org/learn/version-control-with-git,Placement,Git installation commands commit history branch creation merging conflicts remote repositories GitHub workflows.,true
32,Git and GitHub for Beginners - Crash Course,Hands-on video training covering cloning commits branches merge conflicts and open source collaboration.,Git/GitHub,Software Developer,Beginner,Video,1 hour,freeCodeCamp,https://www.youtube.com/watch?v=RGOj5yH7evk,Internship,Core Git concepts repositories commits diffs push pull branching remote management on GitHub.,true
33,AWS Cloud Practitioner Essentials,Official introductory AWS course covering cloud architecture core services IAM S3 EC2 VPC and cloud billing.,Cloud,Cloud Engineer,Beginner,Course,10 hours,AWS Skill Builder,https://explore.skillbuilder.aws/learn/course/external/view/elearning/134/aws-cloud-practitioner-essentials,Certification,Cloud computing overview AWS global infrastructure computing storage networking database security pricing.,true
34,Google Cloud Fundamentals: Core Infrastructure,Foundational training introducing GCP compute engines storage options networking tools and big data services.,Cloud,Cloud Engineer,Beginner,Course,12 hours,Google Cloud (Coursera),https://www.coursera.org/learn/gcp-fundamentals,Job,Core infrastructure of Google Cloud Compute Engine Kubernetes Engine Cloud Storage Cloud IAM VPC networking.,true
35,Google Cybersecurity Professional Certificate,Comprehensive program covering cybersecurity foundations network security Python automation Linux and SIEM tools.,Cybersecurity,Cybersecurity Analyst,Beginner,Course,80 hours,Google (Coursera),https://www.coursera.org/professional-certificates/google-cybersecurity,Job,Security fundamentals threat landscapes network security Linux bash scripting Python security automation SIEM tools.,true
36,TryHackMe: Pre-Security Path,Hands-on gamified cybersecurity labs covering networking basics web fundamentals and foundational Linux defense.,Cybersecurity,Cybersecurity Analyst,Beginner,Practice,30 hours,TryHackMe,https://tryhackme.com/path/outline/pre-security,Internship,Interactive cybersecurity learning covering network OSI model HTTP protocols Linux commands cybersecurity concepts.,true
37,Improving Communication Skills,Develop effective business communication persuasion active listening and professional presentation skills.,Communication,Business Analyst,Beginner,Course,10 hours,Wharton (Coursera),https://www.coursera.org/learn/wharton-communication-skills,Placement,Techniques for persuasive verbal communication active listening technical clarity and team collaboration.,true
38,Quantitative Aptitude and Logical Reasoning for Placements,Comprehensive question bank and explanations covering numerical aptitude logical puzzles and interview tests.,Aptitude,Software Developer,Beginner,Practice,25 hours,IndiaBIX,https://www.indiabix.com/,Placement,Placement aptitude practice on arithmetic percentage profit loss ratios time speed distance syllogisms data interpretation.,true
